accuracy,auc,log_loss,brier,test_season,train_games,test_games
0.6292682926829268,0.6623833341081434,0.6401317006357381,0.22437736866708952,22006,40995,1230
0.6853658536585366,0.7328337683168481,0.5903374584164717,0.20229071485811292,22007,42225,1230
0.6878048780487804,0.7364756917478421,0.5844001590464422,0.20078556538374778,22008,43455,1230
0.6804878048780488,0.7304129462755882,0.5923008231728946,0.2034314380621454,22009,44685,1230
0.6764227642276422,0.7289389538498954,0.5911085370893088,0.2030327806686292,22010,45915,1230
0.6757575757575758,0.7166484440706475,0.6078688442389011,0.20990359977966563,22011,47145,990
0.6699186991869919,0.7104776018934705,0.6171530929577713,0.21337090724946342,22013,48135,1230
0.6869918699186992,0.7318213656929746,0.6037083600906596,0.20828117274443428,22014,49365,1230
0.6780487804878049,0.729669381783242,0.5943179608601257,0.20453474240061625,22015,50595,1230
0.6471544715447154,0.6814719707520891,0.6338390150179223,0.22112245714457435,22016,51825,1230
0.6495934959349593,0.6836389961389961,0.6316086940182398,0.22038237326694668,22017,53055,1230
0.6626016260162602,0.6910814858622947,0.6229454212702226,0.21586518231229637,22018,54285,1230
0.6487252124645893,0.6892429704397981,0.6360873025953527,0.22269566735209026,22019,55515,1059
0.6037037037037037,0.6798898376245287,0.6547689161059748,0.23130252373791912,22020,56574,1080
0.6487804878048781,0.6919018728567661,0.6492893340632543,0.22635591978605935,22021,57654,1230
0.624390243902439,0.6455795496493171,0.6551206285591307,0.2305640230022973,22022,58884,1230
